0,0.2515,0.0058,0.0378,nan,0.1383
1,0.1712,0.0001,0.0487,nan,0.3087
2,0.1380,0.0001,0.1514,nan,0.2789
0,0.2018,0.0018,0.0565,nan,0.1101
1,0.1400,0.0014,0.5224,nan,0.1059
2,0.1217,0.0078,0.5637,nan,0.0846
3,0.1085,0.0524,0.6896,0.0913,0.0702
4,0.1055,0.1382,0.6713,0.2108,0.0499
5,0.1032,0.2114,0.6762,0.2966,0.0453
6,0.1008,0.2553,0.6612,0.3409,0.0425
7,0.0944,0.2834,0.6655,0.3718,0.0332
8,0.0977,0.2895,0.6544,0.3734,0.0469
9,0.0956,0.3073,0.6602,0.3887,0.0363
10,0.0901,0.3316,0.6574,0.4128,0.0310
11,0.0906,0.3414,0.6579,0.4201,0.0312
12,0.0870,0.3566,0.6601,0.4356,0.0290
13,0.0861,0.3609,0.6562,0.4380,0.0323
14,0.0843,0.3876,0.6535,0.4554,0.0265
15,0.0825,0.3888,0.6607,0.4583,0.0278
16,0.0807,0.4031,0.6642,0.4715,0.0264
17,0.0811,0.4088,0.6579,0.4736,0.0265
18,0.0814,0.3956,0.6652,0.4676,0.0236
19,0.0779,0.4366,0.6627,0.4962,0.0280
20,0.0750,0.4417,0.6731,0.5062,0.0264
21,0.0733,0.4673,0.6750,0.5211,0.0254
22,0.0715,0.4631,0.6721,0.5238,0.0260
23,0.0714,0.4758,0.6812,0.5310,0.0241
24,0.0697,0.4896,0.6785,0.5440,0.0250
25,0.0699,0.4848,0.6771,0.5395,0.0242
26,0.0683,0.4855,0.6959,0.5454,0.0211
27,0.0684,0.4934,0.6858,0.5460,0.0218
28,0.0658,0.4921,0.6935,0.5505,0.0203
29,0.0647,0.5066,0.7063,0.5621,0.0214
30,0.0631,0.5121,0.7087,0.5730,0.0185
31,0.0617,0.5169,0.7227,0.5807,0.0211
32,0.0649,0.5034,0.7028,0.5551,0.0239
33,0.0599,0.5152,0.7230,0.5804,0.0188
34,0.0595,0.5209,0.7310,0.5844,0.0201
35,0.0576,0.5294,0.7290,0.5955,0.0208
36,0.0562,0.5332,0.7456,0.5991,0.0193
37,0.0554,0.5349,0.7489,0.6061,0.0175
38,0.0539,0.5440,0.7523,0.6128,0.0180
39,0.0524,0.5481,0.7541,0.6162,0.0154
40,0.0499,0.5618,0.7667,0.6337,0.0176
41,0.0505,0.5701,0.7678,0.6377,0.0198
42,0.0527,0.5616,0.7567,0.6234,0.0191
43,0.0499,0.5702,0.7599,0.6392,0.0195
44,0.0492,0.5772,0.7661,0.6412,0.0170
45,0.0481,0.5835,0.7809,0.6529,0.0179
46,0.0460,0.5984,0.7783,0.6632,0.0155
47,0.0462,0.5991,0.7797,0.6634,0.0174
48,0.0445,0.6112,0.7827,0.6743,0.0191
49,0.0441,0.6097,0.7905,0.6758,0.0163
50,0.0429,0.6206,0.7942,0.6860,0.0160
51,0.0438,0.6190,0.7907,0.6817,0.0185
52,0.0483,0.6068,0.7732,0.6636,0.0230
53,0.0737,0.4723,0.7094,0.5185,0.0207
54,0.0567,0.5306,0.7468,0.5929,0.0203
55,0.0487,0.5862,0.7757,0.6465,0.0178
56,0.0451,0.6043,0.7864,0.6673,0.0168
57,0.0441,0.6098,0.8001,0.6738,0.0163
58,0.0462,0.6019,0.7982,0.6653,0.0168
59,0.0457,0.6017,0.8022,0.6662,0.0175
60,0.0477,0.5903,0.7909,0.6533,0.0198
61,0.0488,0.5842,0.7901,0.6421,0.0170
62,0.0474,0.5764,0.8143,0.6469,0.0200
63,0.0429,0.6226,0.8014,0.6886,0.0189
64,0.0423,0.6161,0.8198,0.6828,0.0177
65,0.0417,0.6346,0.8146,0.6964,0.0147
66,0.0389,0.6487,0.8168,0.7125,0.0163
67,0.0390,0.6511,0.8247,0.7144,0.0150
68,0.0382,0.6566,0.8224,0.7196,0.0166
69,0.0384,0.6579,0.8250,0.7219,0.0161
70,0.0393,0.6528,0.8200,0.7129,0.0158
71,0.0390,0.6589,0.8173,0.7178,0.0176
72,0.0372,0.6702,0.8277,0.7318,0.0178
73,0.0377,0.6596,0.8264,0.7225,0.0169
74,0.0366,0.6734,0.8245,0.7309,0.0165
75,0.0355,0.6893,0.8326,0.7472,0.0194
76,0.0355,0.6854,0.8267,0.7420,0.0172
77,0.0353,0.6887,0.8266,0.7449,0.0167
78,0.0352,0.6875,0.8285,0.7443,0.0159
79,0.0346,0.7004,0.8296,0.7525,0.0218
80,0.0348,0.6928,0.8274,0.7475,0.0175
81,0.0342,0.7024,0.8338,0.7544,0.0141
82,0.0367,0.6841,0.8373,0.7406,0.0172
83,0.0690,0.5225,0.7184,0.5590,0.0202
84,0.0568,0.5710,0.7423,0.6166,0.0202
85,0.0419,0.6270,0.8156,0.6977,0.0199
86,0.0375,0.6670,0.8343,0.7298,0.0162
87,0.0357,0.6919,0.8246,0.7439,0.0140
88,0.0346,0.6905,0.8392,0.7490,0.0174
89,0.0332,0.7073,0.8364,0.7604,0.0140
90,0.0335,0.7047,0.8387,0.7591,0.0201
91,0.0336,0.7119,0.8373,0.7617,0.0159
92,0.0335,0.7133,0.8373,0.7605,0.0159
93,0.0381,0.6793,0.8274,0.7295,0.0212
94,0.0352,0.7041,0.8261,0.7528,0.0184
95,0.0346,0.7049,0.8332,0.7528,0.0153
96,0.0345,0.7023,0.8359,0.7498,0.0153
97,0.0347,0.7002,0.8370,0.7496,0.0195
98,0.0308,0.7311,0.8470,0.7785,0.0204
99,0.0306,0.7342,0.8507,0.7831,0.0167
